page_title,longitude,latitude,hitcount
Institut für vergleichende Irrelevanz,50.1168,8.65321,2249
Alte Oper,50.1158,8.67194,1228
Städelsches Kunstinstitut,50.1028,8.67389,1005
Schirn Kunsthalle Frankfurt,50.1103,8.68361,835
Fraa Rauscher,50.1051,8.69139,455
Museumsufer,50.106,8.67858,425
Frankfurter Treppe / XX. Jahrhundert,50.1122,8.67194,265
Deutsches Filmmuseum,50.105,8.67778,261
Künstlerhaus Mousonturm,50.1193,8.69889,254
Dreikönigskirche (Frankfurt am Main),50.1072,8.68514,249
Sinkkasten (Frankfurt am Main),50.115,8.68333,225
Deutsche Bibliothek,50.1311,8.68306,223
Neuer Portikus,50.1081,8.6875,176
Brotfabrik (Frankfurt am Main),50.1314,8.62616,165
Bockenheimer Depot,50.1208,8.65167,152
Treuners Altstadtmodell,50.1097,8.68236,137
Zeppelinstein,50.1107,8.62976,137
Anna-Schmidt-Schule,50.119,8.67431,126
Museum Giersch,50.1015,8.6706,125

